GSL,All_Traffic
12.03963415,932.1075
11.72782875,583.107959
11.66972477,448.5465234
10.98165138,263.493623
11.07621951,333.2894629
11.03363914,223.2727051
13.27217125,1186.358926
17.96636086,4365.083711
21.30487805,7154.630479
22.64220183,7980.43833
22.78593272,8132.891943
22.87195122,8198.080811
22.49235474,8252.947578
23.7675841,9223.384434
24.50764526,9767.139287
23.51829268,8719.917412
23.93272171,9060.317598
23.77981651,8382.683018
23.83486239,8589.054834
22.42987805,7777.505449
21.94189602,7253.514551
21.37003058,6970.193818
19.63719512,6107.023379
13.46788991,1970.094463
11.9204893,656.5498828
11.6116208,424.0574512
11.1554878,253.0446875
11.03363914,183.5824805
11.03058104,190.6877637
11.02140673,181.5610938
13.4847561,1249.029766
21.10397554,4950.918984
29.48623853,10762.67157
23.78963415,8188.736904
20.70030581,5978.464375
20.27217125,5652.003057
19.9204893,5921.299736
19.92378049,5430.768984
20.19571865,5467.284551
19.60550459,5045.306211
19.41284404,4895.105898
21.92682927,5980.707832
26.16819572,8619.652266
22.19266055,6822.2829
19.31402439,4938.422959
19.14678899,4880.665
17.94189602,4334.968242
13.45565749,1742.17501
11.7195122,589.14125
11.74923547,459.8125488
11.54740061,345.8496777
11.17737003,221.5385547
11.02134146,198.9367188
11.0795107,192.0925195
13.51987768,1302.439111
22.0945122,5889.331514
30.42507645,11820.85192
24.74923547,8969.47834
22.11314985,6956.392549
21.48780488,6628.739443
21.74311927,7072.70083
21.59327217,6666.653682
21.62079511,6626.093291
20.66463415,6017.913662
19.86544343,4975.070107
22.66055046,6522.334922
26.82012195,9080.784092
22.93577982,7353.570459
19.82262997,5207.375498
19.43119266,4979.632441
17.45731707,3920.394346
13.21100917,1583.468047
12.00917431,645.1175684
11.62079511,414.0379785
11.26829268,323.5003223
11.09785933,207.2262109
11.03975535,148.8438281
11.09756098,210.8074414
13.20795107,1119.165879
21.18348624,5045.371357
29.32415902,10518.16308
23.64939024,8181.04582
20.0764526,5384.447988
19.6146789,5305.081963
19.73394495,5706.26251
19.7347561,5401.692773
19.49847095,5254.339668
19.44342508,4818.96583
20.04268293,5133.023125
22.26299694,6397.501758
26.71559633,8936.760586
22.88379205,7247.937402
19.47560976,5009.472471
19.1559633,4831.444717
17.43425076,3996.716963
13.19571865,1588.178369
11.7347561,508.8972363
11.41896024,364.9508301
11.2324159,249.6166113
11.04573171,203.3404102
11.00917431,130.2907031
11.01834862,164.7240137
13.15902141,1102.552656
20.75914634,4766.35041
29.06727829,10296.07248
23.26605505,7460.227891
20.24464832,5366.36125
19.64939024,5191.953828
19.88073394,5397.953604
19.91131498,5376.961709
19.76829268,5141.453252
19.70948012,5086.0646
20.14984709,5225.146973
22.51681957,6463.591826
25.79573171,8693.538154
22.19266055,6833.493584
19.65443425,5354.603115
19.20795107,4978.375439
17.25609756,4013.921953
13.32415902,1856.339668
11.79510703,740.2027148
11.36890244,558.6556738
11.13761468,317.4115723
11.03363914,202.4072656
11.00611621,193.0067188
11.01219512,235.3851074
12.94801223,1075.930039
20.57798165,4845.438437
28.29357798,9787.851328
23.00304878,7551.099502
20.37308869,5748.140469
19.69724771,5220.682832
19.80792683,5597.488203
19.79816514,5288.061299
19.98165138,5232.173545
20.01529052,5347.944766
20.07012195,5351.9296
22.87155963,6779.493447
27.03058104,9691.273076
22.93883792,7327.396943
19.56707317,5102.43999
19.55657492,5223.667002
17.99388379,4544.86915
13.4847561,1866.639541
11.73088685,659.7383203
11.36697248,453.3337695
11.11009174,231.1701855
11.0152439,194.5569043
11.0030581,194.018877
11,152.5417383
12.50152905,830.340791
16.42682927,2901.793691
19.41896024,4745.31585
19.52905199,5139.356826
19.42378049,5028.56208
19.33944954,5181.914551
19.20795107,5170.382725
19.90214067,5731.715742
19.66768293,5561.827734
19.03058104,5115.528545
19.75535168,5430.847656
20.82262997,6039.384746
21.70121951,6674.483242
19.77370031,5603.575771
18.68807339,4775.543086
18.69512195,4778.868037
17.18042813,3961.488516
13.25382263,1808.628994
